jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,1423,39.0,,147.0,,752.0,5.1861702127659575,19.54787234042553
2012,1424,47.0,,181.0,,960.0,4.895833333333334,18.854166666666668
2012,1430,9.941908713692946,1.0,59.0,,258.0,3.853452989803468,22.868217054263567
2012,1431,9.941908713692946,1.0,34.0,,219.0,4.53968434415203,15.52511415525114
2012,1433,22.0,,104.0,,462.0,4.761904761904762,22.51082251082251
2012,1434,9.941908713692946,1.0,51.0,,326.0,3.0496652495990633,15.644171779141104
2012,1473,29.0,,129.0,,764.0,3.7958115183246073,16.884816753926703
2012,1509,9.941908713692946,1.0,86.0,,518.0,1.9192873964658197,16.602316602316602
2012,1523,31.0,,171.0,,1300.0,2.3846153846153846,13.153846153846155
2012,1525,9.941908713692946,1.0,70.0,,576.0,1.7260258183494699,12.152777777777777
2012,1526,9.941908713692946,1.0,36.0,,210.0,4.734242244615689,17.142857142857142
2012,1528,9.941908713692946,1.0,31.0,,311.0,3.196755213406092,9.967845659163988
2012,1529,9.941908713692946,1.0,30.0,,323.0,3.0779903138368256,9.287925696594428
2012,1542,9.941908713692946,1.0,43.0,,362.0,2.7463836225671123,11.878453038674033
2012,1543,9.941908713692946,1.0,100.0,,788.0,1.2616635423468205,12.690355329949238
2012,1553,20.0,,103.0,,742.0,2.6954177897574123,13.881401617250672
2012,1586,9.941908713692946,1.0,113.0,,444.0,2.239168629210123,25.45045045045045
2012,1588,40.0,,228.0,,1426.0,2.805049088359046,15.988779803646564
2012,1608,38.0,,144.0,,820.0,4.634146341463414,17.5609756097561
2012,1609,9.941908713692946,1.0,120.0,,985.0,1.0093308338774565,12.182741116751268
2012,1610,87.0,,394.0,,2280.0,3.81578947368421,17.280701754385962
2012,1619,20.0,,128.0,,744.0,2.6881720430107525,17.204301075268816
2012,1635,74.0,,515.0,,4153.0,1.7818444497953285,12.400674211413435
2012,1647,9.941908713692946,1.0,56.0,,483.0,2.058366193311169,11.594202898550725
2012,1656,9.941908713692946,1.0,92.0,,667.0,1.4905410365356742,13.793103448275863
2012,1663,35.0,,233.0,,2016.0,1.736111111111111,11.557539682539682
